id,type,title,year,pagination,conference
ShamaLDMC17,Conference and Workshop Papers,Gene-set profiles: visualizing dissimilarity within gene co-expression networks for biomarker identification.,2017,79-80,vinci_2017

LiWLQW17,Conference and Workshop Papers,Overall quality evaluation of graph layouts based on regression analysis.,2017,81-82,vinci_2017

KongburanPKC17,Conference and Workshop Papers,Network analysis of inter-organizational success factor relationships.,2017,83-84,vinci_2017

SerimCVPGJ17,Conference and Workshop Papers,Exploring gaze-adaptive features for interacting with multi-document visualizations.,2017,85-92,vinci_2017

ZhangZPY17,Conference and Workshop Papers,Computer-aided generation of mandala thangka patterns.,2017,93-100,vinci_2017

Burch17,Conference and Workshop Papers,Eye movement plots.,2017,101-108,vinci_2017

BurchKJHHBMW17,Conference and Workshop Papers,artVIS: an interactive visualization for painting collections.,2017,109-112,vinci_2017

Biuk-AghaiPP17,Conference and Workshop Papers,Map-like visualisations vs. treemaps: an experimental comparison.,2017,113-120,vinci_2017

TranquilleSBR17,Conference and Workshop Papers,Evaluating the effects of size in linesets.,2017,121-128,vinci_2017

KeckKGTKMG17,Conference and Workshop Papers,Towards Glyph-based visualizations for big data clustering.,2017,129-136,vinci_2017

SatoSJS017,Conference and Workshop Papers,How Network-based and set-based visualizations aid consistency checking in ontologies.,2017,137-141,vinci_2017

Burch16,Conference and Workshop Papers,The Dynamic Call Graph Matrix.,2016,1-8,vinci_2016

PaduanoEF16,Conference and Workshop Papers,BranchingSets: Interactively Visualizing Categories on Node-Link Diagrams.,2016,9-16,vinci_2016

WangLQLM16,Conference and Workshop Papers,A Guided Tour of Literature Review: Facilitating Academic Paper Reading with Narrative Visualization.,2016,17-24,vinci_2016

ShiZZZWSL16,Conference and Workshop Papers,IDSPlanet: A Novel Radial Visualization of Intrusion Detection Alerts.,2016,25-29,vinci_2016

SplechtnaDEDGM16,Conference and Workshop Papers,Bus Lines Explorer: Interactive Exploration of Public Transportation Data.,2016,30-34,vinci_2016

YasudaTW16,Conference and Workshop Papers,Enhancing Infographics Based on Symmetry Saliency.,2016,35-42,vinci_2016

NguyenSQ16,Conference and Workshop Papers,Deep Exploration of Multidimensional Data with Linkable Scatterplots.,2016,43-50,vinci_2016

RohligS16,Conference and Workshop Papers,Visibility Widgets: Managing Occlusion of Quantitative Data in 3D Terrain Visualization.,2016,51-58,vinci_2016

WestKPHHCDLHJSG16,Conference and Workshop Papers,Eliciting Tacit Expertise in 3D Volume Segmentation.,2016,59-66,vinci_2016

HuangLK16,Conference and Workshop Papers,A Comparative Study on Inter-Device Interaction: One-Handed Interaction VS Two-Handed Interaction.,2016,67-74,vinci_2016

PangBY16,Conference and Workshop Papers,What Makes You Think This Is a Map?: Suggestions for Creating Map-like Visualisations.,2016,75-82,vinci_2016

LiL16,Conference and Workshop Papers,How People Deploy Dimensional Information to Estimate Relative Values.,2016,83-90,vinci_2016

HaberYJE16,Conference and Workshop Papers,Do Defaults Matter?: Evaluating the Effect of Defaults on User Preference for Multi-Class Scatterplots.,2016,91-95,vinci_2016

LeiXSZCP16,Conference and Workshop Papers,Visual Analysis of User-Driven Association Rule Mining.,2016,96-103,vinci_2016

RuppertBBLUK16,Conference and Workshop Papers,Supporting Collaborative Political Decision Making: An Interactive Policy Process Visualization System.,2016,104-111,vinci_2016

HeC16,Conference and Workshop Papers,Spatiotemporal Analytics of Topic Trajectory.,2016,112-116,vinci_2016

JiTMTFLC16,Conference and Workshop Papers,A Hybrid Approach for Event Social Influence Visualization.,2016,117-121,vinci_2016

ZhangMY16,Conference and Workshop Papers,Adaptively Tiled Image Mosaics Utilizing Measures of Color and Region Entropy.,2016,122-129,vinci_2016

XiongZ16,Conference and Workshop Papers,Generation of Miro's Surrealism.,2016,130-137,vinci_2016

SunLGW16,Conference and Workshop Papers,EduVis: Visualization for Education Knowledge Graph Based on Web Data.,2016,138-139,vinci_2016

DelaiJD16,Conference and Workshop Papers,Visualizing Time-Variant Sets on a Handheld Device.,2016,140-141,vinci_2016

MatsusakiHJE16,Conference and Workshop Papers,Interactive Exploration of Multidimensional YouTube Data Using the GPLOM Technique.,2016,142-143,vinci_2016

Kang16,Conference and Workshop Papers,The Effect of Color on Short-term Memory in Information Visualization.,2016,144-145,vinci_2016

LiW16,Conference and Workshop Papers,Design for the future: Incorporating Cradle to Cradle Design into our street.,2016,146-147,vinci_2016

WilchesB16,Conference and Workshop Papers,VolSelectAware: Visual-Cognition Coupled Non-Visual Data-Driven Volume Selection for Immersive Scientific Visualizations.,2016,148-149,vinci_2016

HongLX16,Conference and Workshop Papers,Visual Analysis of TED Talk Topic Trends.,2016,150-151,vinci_2016

WuC16,Conference and Workshop Papers,A Mapping of Color Information from Inputted Images to Generated Polygons: A Case Study of Generative Design of Epoxy-Terrazzo Artistry.,2016,152-153,vinci_2016

QianB16,Conference and Workshop Papers,Visual Communication Power Construction and Multimodal Discourse Analysis of Tobacco Control Advertising.,2016,154-155,vinci_2016

ByrdC16,Conference and Workshop Papers,Facilitating Visualization Capacity Building.,2016,156,vinci_2016

YeonJ15,Conference and Workshop Papers,Predictive Visual Analytics using Topic Composition.,2015,1-8,vinci_2015

KainouTAEM15,Conference and Workshop Papers,A Preliminary Study on Network-based ADL Training for the Visually Impaired by Use of a Parametric-speaker Robot.,2015,9-12,vinci_2015

0001RE15,Conference and Workshop Papers,In-Situ Visualisation of Fractional Code Ownership over Time.,2015,13-20,vinci_2015

Krone0E15,Conference and Workshop Papers,Remote Rendering and User Interaction on Mobile Devices for Scientific Visualization.,2015,21-26,vinci_2015

Burch15,Conference and Workshop Papers,Dynamic Graph Visualization with Multiple Visual Metaphors.,2015,27-34,vinci_2015

PanagiotidisRBP15,Conference and Workshop Papers,Consistently GPU-Accelerated Graph Visualization.,2015,35-41,vinci_2015

KennedyKN15,Conference and Workshop Papers,The Graph Landscape: a Concept for the Visual Analysis of Graph Set Properties.,2015,42-51,vinci_2015

ChenW15,Conference and Workshop Papers,Digital Artwork Creation Using Water and Sand on a Two-Dimensional Surface.,2015,52-60,vinci_2015

MatsuedaI15,Conference and Workshop Papers,HistoryPaper: A Magazine-Style Layout of Representative Web Pages Extracted From Browsing History.,2015,61-68,vinci_2015

McGheeTFBB15,Conference and Workshop Papers,The Fantastic Voyage: an arts-led approach to 3D virtual reality visualization of clinical stroke data.,2015,69-74,vinci_2015

IsmailBS15,Conference and Workshop Papers,Vision-Based Technique and Issues for Multimodal Interaction in Augmented Reality.,2015,75-82,vinci_2015

AngeliniS15,Conference and Workshop Papers,Visual Cyber Situational Awareness for Critical Infrastructures.,2015,83-92,vinci_2015

LiMHZ15,Conference and Workshop Papers,An Interactive Radial Visualization of Geoscience Observation Data.,2015,93-102,vinci_2015

KoikeI15,Conference and Workshop Papers,An interactive exploratory search system for on-line apparel shopping.,2015,103-108,vinci_2015

PandeyRSD15,Conference and Workshop Papers,Interactive Visual Analysis of Temporal Text Data.,2015,109-114,vinci_2015

HuangMW15,Conference and Workshop Papers,Exploring the Benefits of Text and Sketch in Video Retrieval of Complex Queries.,2015,115-120,vinci_2015

LiLZ15,Conference and Workshop Papers,Metaphoric Transfer Effect in Information Visualization Using Glyphs.,2015,121-130,vinci_2015

0001KSRE15,Conference and Workshop Papers,On the Utility of Large High-Resolution Displays for Comparative Scientific Visualisation.,2015,131-136,vinci_2015

YangB15,Conference and Workshop Papers,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation.,2015,137-142,vinci_2015

LinHLT15,Conference and Workshop Papers,On Clustered Graph Layouts Sketched by Users Based on Predefined Clusters.,2015,143-145,vinci_2015

ShirotaTTM15,Conference and Workshop Papers,Visually Do Statistics: Visual Materials of Covariance in Regressive Analysis.,2015,146-147,vinci_2015

HaradaW15,Conference and Workshop Papers,The Interface Design for Serendipity with Collective Intelligence.,2015,148-149,vinci_2015

TamakiH15,Conference and Workshop Papers,Synchronizing Digital Signage Content with the Movement of Passerby.,2015,150-151,vinci_2015

CookNS15,Conference and Workshop Papers,Enabling Finger-Gesture Interaction with Kinect.,2015,152-153,vinci_2015

TrouveM15,Conference and Workshop Papers,Interactive Visualization of Quantitative Data with G2D3.,2015,154-155,vinci_2015

YagiIT15,Conference and Workshop Papers,A Layout Technique for Storyline-based Visualization of Consecutive Numerical Time-varying Data.,2015,156-157,vinci_2015

HaBHL15,Conference and Workshop Papers,Logo Trend Visualization: Logo Design Shape Element Trend and Pattern Analysis.,2015,158-159,vinci_2015

TachiharaYIDRT15,Conference and Workshop Papers,Data Analysis Tool for Arm Movement Pattern in Virtual Catching Task: A Preliminary Development.,2015,160-161,vinci_2015

TakadaA15,Conference and Workshop Papers,A Visual Approach to Detecting Drive-by Download Attacks.,2015,162-163,vinci_2015

LeeLHWL15,Conference and Workshop Papers,A Projection-based Medical Augmented Reality System.,2015,164-165,vinci_2015

KatayamaMS15,Conference and Workshop Papers,Enhanced Visualization of News Shot Cloud with Employing Circular Layout.,2015,166-167,vinci_2015

ZhangLZ15,Conference and Workshop Papers,Using Virtual Reality Technique to Enhance Experience of Exploring 3D Trajectory Visualizations.,2015,168-169,vinci_2015

ShirotaTTM15a,Conference and Workshop Papers,Visually Do Statistics for Business Persons: Visual Materials from Regression to Black-Sholes Model.,2015,170-173,vinci_2015

YelizarovG14,Conference and Workshop Papers,Adaptive Visualization Interface That Manages User's Cognitive Load Based on Interaction Characteristics.,2014,1,vinci_2014

CannonHJJ14,Conference and Workshop Papers,CoVE: A Colony Visualization System for Animal Pedigrees.,2014,9,vinci_2014

HuangHNZ14,Conference and Workshop Papers,A Space-Filling Multidimensional Visualization (SFMDVis for Exploratory Data Analysis.,2014,19,vinci_2014

BurchW14,Conference and Workshop Papers,A Flip-Book of Edge-Splatted Small Multiples for Visualizing Dynamic Graphs.,2014,29,vinci_2014

YiWMMT14,Conference and Workshop Papers,Visualizing Bag-of-Features Image Categorization Using Anchored Maps.,2014,39,vinci_2014

ZhouXMQ14,Conference and Workshop Papers,Parallel Coordinates with Data Labels.,2014,49,vinci_2014

AvazpourGV14,Conference and Workshop Papers,Generating Reusable Visual Notations using Model Transformation.,2014,58,vinci_2014

WolterK14,Conference and Workshop Papers,Encapsulating Interaction Techniques of 3D Language Editors in Visual Patterns.,2014,68,vinci_2014

ChenW14,Conference and Workshop Papers,Interactive Sand Art Drawing Using Kinect.,2014,78,vinci_2014

