type,title,date,authors,doi,publisher,venue,location
article-journal,Design Patterns and Trade-Offs in Responsive Visualization for Communication,"['2021', '2021']","['Hyeok Kim', 'Dominik Moritz', 'Jessica Hullman']",10.1111/cgf.14321,,Computer Graphics Forum,
,Layoutgan: Generating graphic layouts with wireframe discriminators,2019,"['Jianan Li', 'Jimei Yang', 'Aaron Hertzmann', 'Jianming Zhang', 'Tingfa Xu']",10.48550/arXiv.1901.06767,,,
paper-conference,A survey of automated layout techniques for information presentations,"['2001', '2001']","['Simon Lok', 'Steven Feiner']",temp26,,Proc. Smart Graphics 2001,
paper-conference,A general algorithm for computing distance transforms in linear time,2002,"['Arnold Meijster', 'Jos B.T.M. Roerdink', 'Wim H. Hesselink']",10.1007/0-306-47025-X_36,,Proc. Mathematical Morphology and its Applications to Image and Signal Processing,
article-journal,eulerforce: Force-directed layout for Euler diagrams,"['2014', '2014']","['Luana Micallef', 'Peter Rodgers']",10.1016/j.jvlc.2014.09.002,,Journal of Visual Languages & Computing,
article-journal,Formalizing visualization design knowledge as constraints: Actionable and extensible models in draco,2018,"['Dominik Moritz', 'Chenglong Wang', 'Greg L. Nelson', 'Halden Lin', 'Adam M. Smith', 'Bill Howe', 'Jeffrey Heer']",10.1109/TVCG.2018.2865240,,IEEE Transactions on Computer Graphics and Visualization,
article-journal,What do we talk about when we talk about dashboards?IEEE Trans,"['2018', '2018']","['Alper Sarikaya', 'Michael Correll', 'Lyn Bartram', 'Melanie Tory', 'Danyel Fisher']",10.1109/TVCG.2018.2864903,,Visualization and Computer Graphics,
article-journal,Vega-Lite: A Grammar of Interactive Graphics,"['2017', '2017-01']","['A. Satyanarayan', 'D. Moritz', 'K. Wongsuphasawat', 'J. Heer']",10.1109/TVCG.2016.2599030,,TVCG,
paper-conference,Adaptive layout for dynamically aggregated documents,2008,"['Evan Schrier', 'Mira Dontcheva', 'Charles Jacobs', 'Geraldine Wade', 'David Salesin']",10.1145/1378773.1378787,,Proc. International Conference on Intelligent User Interfaces,
,Interactive self-organizing windows,"['2012', '2012']","['Markus Steinberger', 'Manuela Waldner', 'Dieter Schmalstieg']",10.1111/j.1467-8659.2012.03041.x,,,
article-journal,"Polaris: a system for query, analysis, and visualization of multidimensional relational databases","['2002', '2002-01']","['Chris Stolte', 'Diane Tang', 'Pat Hanrahan']",10.1109/2945.981851,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,Sketchplore: Sketch and explore with a layout optimiser,2016,"['Kashyap Todi', 'Daryl Weir', 'Antti Oulasvirta']",10.1145/2901790.2901817,,Proc. ACM Conference on Designing Interactive Systems,
book,The visual display of quantitative information,1983,['E.R. Tufte'],10.5555/33404,Graphics press,,"Cheshire, CT"
,Infographics Wizard: Flexible Infographics Authoring and Design Exploration,2022,"['Anjul Tyagi', 'Jian Zhao', 'Pushkar Patel', 'Swasti Khurana', 'Klaus Mueller']",10.48550/ARXIV.2204.09904,,,
paper-conference,Global beautification of layouts with interactive ambiguity resolution,2014,"['Pengfei Xu', 'Hongbo Fu', 'Takeo Igarashi', 'Chiew-Lan Tai']",10.1145/2642918.2647398,,Proc. ACM Symposium on User Interface Software and Technology,
article-journal,Automatic generation of visual-textual presentation layout,2016,"['Xuyong Yang', 'Tao Mei', 'Ying-Qing Xu', 'Yong Rui', 'Shipeng Li']",10.1145/2818709,,"ACM Transactions on Multimedia Computing, Communications, and Applications",
article-journal,Content-aware generative modeling of graphic design layouts,"['2019', '2019']","['Xinru Zheng', 'Xiaotian Qiao', 'Ying Cao', 'Rynson W.H. Lau']",10.1145/3306346.3322971,,ACM Transactions on Graphics,
research-article,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",2022,"['Zhenbao Fan', 'Yixuan Zhu', 'Christine Yan', 'Yufan Li', 'Kang Zhang']",10.1145/3554944.3554951,ACM,vinci,
chapter,Colour for the Painter,1995,['B. Riley'],temp41,Cambridge University Press,Colour: Art and Science,"Cambridge, UK"
article-journal,An independent contribution of colour to the aesthetic preference for paintings,2020-12,"['A.M. Albers', 'K.R. Gegenfurtner', 'S.M.C. Nascimento']",temp42,,Vision Research,
article-journal,Supporting history of art with colorimetry: The paintings of Amadeo de Souza-Cardoso,2018,"['C. Montagner', 'J.M.M. Linhares', 'M. Vilarigues', 'M.J. Melo', 'S.M.C. Nascimento']",10.1002/col.22189,,Color Research & Application,
paper-conference,Who's Afraid of Itten: Using the Art Theory of Color Combination to Analyze Emotions in Abstract Paintings,2015,"['A. Sartori', 'D. Culibrk', 'Y. Yan', 'N. Sebe']",10.1145/2733373.2806250,,Proceedings of the 23rd ACM International Conference on Multimedia,"New York, NY, USA"
article-journal,The use of colour measurement in research into art heritage,"['2013', '2022']","['E. Tantcheva', 'V. C.', 'S. Westland']",temp45,,Accessed: Apr,
article-journal,Computational Aesthetics of APP Icons,2021-07,"['L. Dai', 'Y. Zheng', 'R. Peng', 'J. Yu']",10.3724/SP.J.1089.2021.18650;JSESSIONID=bfbdd7a5-f59a-44df-a3f7-88cdf720786b,,Journal of Computer-Aided Design & Computer Graphics,
chapter,Aesthetic quality classification of photographs based on color harmony,2011-06,"['M. Nishiyama', 'T. Okabe', 'I. Sato', 'Y. Sato']",10.1109/CVPR.2011.5995539,,CVPR 2011,
article-journal,Creative and Progressive Interior Color Design with Eye-tracked User Preference,2022,['S. Guo'],10.1145/3542922,,ACM Trans. Comput.-Hum. Interact,
article-journal,Computational color analysis of paintings for different artists of the XVI and XVII centuries,2018,"['J. Romero', 'L. Gómez-Robledo', 'J. Nieves']",10.1002/col.22211,,Color Research & Application,
article-journal,Colour Harmony,2007-01,"['S. Westland', 'K. Laycock', 'V. Cheung', 'P. Henry', 'F. Mahyar']",temp50,,Color: Design & Creativity,
book,A Grammar of Color: A Basic Treatise on the Color System of Albert H,1969,['A.H. Munsell'],temp51,"Munsell, First Edition. Van Nostrand Reinhold Co",,
article-journal,The Munsell Color System: A scientific compromise from the world of art,2014-09,['S. Cochrane'],temp52,,Studies in History and Philosophy of Science Part A,
article-journal,Understanding Color Models: A Review,2012-01,"['N. Ibraheem', 'M. Hasan', 'R.Z. Khan', 'P. Mishra']",temp53,,ARPN Journal of Science and Technology,
article-journal,Aesthetic Visual Quality Assessment of Paintings,2009-04,"['C. Li', 'T. Chen']",temp54,,IEEE Journal of Selected Topics in Signal Processing,
article-journal,Aesthetic Image Statistics Vary with Artistic Genre,2020-03,['G. Mather'],temp55,,Vision,
book,Aesthetic Measure,2013,['G.D. Birkhoff'],temp56,Harvard University Press,,
article-journal,The empirical basis of color perception,2002-12,"['R.Beau Lotto', 'D. Purves']",temp57,,Consciousness and Cognition,
article-journal,What is color and how it is perceived?,2019-09,"['A. Grzybowski', 'K. Kupidura-Majewski']",temp58,,Clinics in Dermatology,
article-journal,Geometry of color perception. Part 2: perceived colors from real quantum states and Hering's rebit,2020-09,['M. Berthier'],temp59,,The Journal of Mathematical Neuroscience,
article-journal,Measuring and Evaluating the Visual Complexity of Chinese Ink Paintings,2021-05-19,"['Z.-B. Fan', 'Y. Li', 'K. Zhang', 'J. Yu', 'M.L. Huang']",temp60,,The Computer Journal,
chapter,Visual Aesthetic Quality Assessment of Digital Images,2013,"['C. Li', 'T. Chen']",temp61,CRC Press,Perceptual Digital Imaging,
article-journal,OmniArt: A Large-scale Artistic Benchmark,2018,"['G. Strezoski', 'M. Worring']",10.1145/3273022,,ACM Trans. Multimedia Comput. Commun. Appl,
chapter,Color image segmentation considering human sensitivity for color pattern variations,2001-10,"['K.-J. Yoon', 'I.-S. Kweon']",temp63,,"Intelligent Robots and Computer Vision XX: Algorithms, Techniques, and Active Vision",
chapter,Perceptually-Inspired Artistic Genre Identification System in Digitized Painting Collections,2013,"['R.G. Condorovici', 'C. Florea', 'R. Vrânceanu', 'C. Vertan']",temp64,,Image Analysis,"Berlin, Heidelberg"
book,Theory of colours,1970,"['J.W. Goethe', 'C.L. Eastlake', 'D.B. Judd']",temp65,M.I.T. Press,,"Cambridge, Massachusetts"
book,The Color Primer: A Basic Treatise on the Color System of Wilhelm Ostwald,1969,"['O. Wilhelm', 'B. Faber']",temp66,Van Nostrand Reinhold Co,,New York
book,The Principles of Harmony and Contrast of Colors and Their Applications to the Arts,1981,['M.E. Chevreul'],temp67,Van Nostrand Reinhold,,New York
book,The Art of Color: The Subjective Experience and Objective Rationale of Color,1997,['J. Itten'],temp68,John Wiley & Sons,,New York
book,The Geography of Thought: How Asians and Westerners Think Differently...and Why,2004,['R.E. Nisbett'],temp69,Free Press,,New York
article-journal,A colour harmony model for two-colour combinations,2006,"['L.-C. Ou', 'M.R. Luo']",10.1002/col.20208,,Color Research & Application,
article-journal,Experimental modeling of colour harmony,2010,"['F. Szabó', 'P. Bodrogi', 'J. Schanda']",10.1002/col.20558,,Color Research & Application,
article-journal,Towards aesthetics of image: A Bayesian framework for color harmony modeling,2015-11,"['P. Lu', 'X. Peng', 'R. Li', 'X. Wang']",10.1016/j.image.2015.04.003,,Signal Processing: Image Communication,
book,Color design,1995,['Y. Matsuda'],temp73,Asakura Shoten,,
article-journal,Geometric Formulation of Classical Color Harmony*,1944-01,"['P. Moon', 'D.E. Spencer']",temp74,,"J. Opt. Soc. Am., JOSA",
chapter,Color compatibility from large datasets,2011,"[""P. O'Donovan"", 'A. Agarwala', 'A. Hertzmann']",10.1145/1964921.1964958,,ACM SIGGRAPH 2011 papers,"New York, NY, USA"
article-journal,Saliency-aware color harmony models for outdoor signboard,2022-06,"['Y. Lin', 'W. Zeng', 'Y. Ye', 'H. Qu']",10.1016/j.cag.2022.04.012,,Computers & Graphics,
article-journal,Color harmony,2002,['K.E. Burchett'],10.1002/col.10004,,Color Research & Application,
article-journal,Color design support system considering color harmony,2002,"['M. Tokumaru', 'N. Muranaka', 'S. Imanishi']",temp78,,Feb,
chapter,Color harmonization,2006,"['D. Cohen-Or', 'O. Sorkine', 'R. Gal', 'T. Leyvand', 'Y.-Q. Xu']",10.1145/1179352.1141933,,ACM SIGGRAPH 2006 Papers,"New York, NY, USA"
article-journal,Evaluation and Analysis of White Space in Wu Guanzhong's Chinese Paintings,2019,"['Z.-B. Fan', 'K. Zhang', 'X.S. Zheng']",temp80,,Leonardo,
article-journal,Visual order of Chinese ink paintings,2020-10,"['Z.-B. Fan', 'K. Zhang']",temp81,,"Visual Computing for Industry, Biomedicine, and Art",
article-journal,Physical Objects as Vehicles of Cultural Transmission: Maintaining Harmony and Uniqueness Through Colored Geometric Patterns,2014-02,"['K. Ishii', 'Y. Miyamoto', 'N.O. Rule', 'R. Toriyama']",10.1177/0146167213508151,,Pers Soc Psychol Bull,
research-article,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,2022,"['Hongzhi Zhu', 'Septimiu Edmund Salcudean', 'Robert N Rohling']",10.1145/3554944.3554952,ACM,vinci,
paper-conference,Rethinking class activation mapping for weakly supervised object localization,2020,"['Wonho Bae', 'Junhyug Noh', 'Gunhee Kim']",10.1007/978-3-030-58555-6_37,Springer,European Conference on Computer Vision,
,,2021,"['Ritwik Bera', 'Vinicius G. Goecks', 'Gregory M. Gremillion', 'Vernon J. Lawhern', 'John Valasek', 'Nicholas R. Waytowich']",2102.13008,,,
paper-conference,Multi-task sonoeyenet: detection of fetal standardized planes assisted by generated sonographer attention maps,2018,"['Yifan Cai', 'Harshita Sharma', 'Pierre Chatelain', 'J.Alison Noble']",10.1007/978-3-030-00928-1_98,Springer,International conference on medical image computing and computer-assisted intervention,
paper-conference,SonoEyeNet: Standardized fetal ultrasound plane detection informed by eye tracking,"['2018', '1475']","['Yifan Cai', 'Harshita Sharma', 'Pierre Chatelain', 'J.Alison Noble']",temp86,IEEE,2018 IEEE 15th International Symposium on Biomedical Imaging (ISBI 2018,
article-journal,Deep Learning for Chest X-ray Analysis: A Survey,2021,"['Erdi Çallı', 'Ecem Sogancioglu', 'Bram Ginneken', 'Kicky G. Leeuwen', 'Keelin Murphy']",temp87,,Medical Image Analysis(2021,
article-journal,Evaluation of gaze tracking calibration for longitudinal biomedical imaging studies,"['2018', '2018']","['Pierre Chatelain', 'Harshita Sharma', 'Lior Drukker', 'Aris T. Papageorghiou', 'J.Alison Noble']",temp88,,IEEE transactions on cybernetics,
paper-conference,Grad-cam++: Generalized gradient-based visual explanations for deep convolutional networks,2018,"['Aditya Chattopadhay', 'Anirban Sarkar', 'Prantik Howlader', 'Vineeth N. Balasubramanian']",temp89,IEEE,2018 IEEE winter conference on applications of computer vision (WACV,
paper-conference,Ultrasound image representation learning by modeling sonographer visual attention,2019,"['Richard Droste', 'Yifan Cai', 'Harshita Sharma', 'Pierre Chatelain', 'Lior Drukker', 'Aris T. Papageorghiou', 'J.Alison Noble']",temp90,Springer,International conference on information processing in medical imaging,
paper-conference,Discovering Salient Anatomical Landmarks by Predicting Human Gaze,2020,"['Richard Droste', 'Pierre Chatelain', 'Lior Drukker', 'Harshita Sharma', 'Aris T. Papageorghiou', 'Julia Alison Noble']",temp91,,2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI). IEEE,
chapter,Automated methods for detection and classification pneumonia based on x-ray images using deep learning,2021,"['Khalid El Asnaoui', 'Youness Chawki', 'Ali Idri']",temp92,Springer,Artificial Intelligence and Blockchain for Future Cybersecurity Applications,
chapter,An efficient algorithm for Gaussian blur using finite-state machines,1998,"['M.Waltza Frederick', 'John W.V. Millerb']",temp93,,E Conf. on Machine Vision Systems for Inspection and Metrology,
article-journal,"PhysioBank, PhysioToolkit, and PhysioNet: components of a new research resource for complex physiologic signals","['2000', '2000']","['Ary L. Goldberger', 'Luis A.N. Amaral', 'Leon Glass', 'Jeffrey M. Hausdorff', 'Plamen Ch Ivanov', 'Roger G. Mark', 'Joseph E. Mietus', 'George B. Moody', 'Chung-Kang Peng', 'H.Eugene Stanley']",temp94,,circulation,
,,2020,"['Kai Han', 'Yunhe Wang', 'Hanting Chen', 'Xinghao Chen', 'Jianyuan Guo', 'Zhenhua Liu', 'Yehui Tang', 'An Xiao', 'Chunjing Xu', 'Yixing Xu']",2012.12556,,,
article-journal,Efficient pneumonia detection in chest xray images using deep transfer learning,"['2020', '2020']","['Mohammad Farukh Hashmi', 'Satyarth Katiyar', 'Avinash G. Keskar', 'Neeraj Dhanraj Bokde', 'Zong Woo Geem']",temp96,,Diagnostics,
paper-conference,Deep residual learning for image recognition,2016,"['Kaiming He', 'Xiangyu Zhang', 'Shaoqing Ren', 'Jian Sun']",temp97,,Proceedings of the IEEE conference on computer vision and pattern recognition,
book,Engineering statistics,1987,"['Robert V. Hogg', 'Johannes Ledolter']",temp98,Macmillan Publishing Company,,
book,Eye tracking: A comprehensive guide to methods and measures,2011,"['Kenneth Holmqvist', 'Marcus Nyström', 'Richard Andersson', 'Richard Dewhurst', 'Halszka Jarodzka', 'Joost Weijer']",temp99,OUP Oxford,,
article-journal,No one knows what attention is,"['2019', '2019']","['Bernhard Hommel', 'Craig S. Chapman', 'Paul Cisek', 'Heather F. Neyedli', 'Joo-Hyun Song', 'Timothy N. Welsh']",temp100,,"Attention, Perception, & Psychophysics",
,Mobilenets: Efficient convolutional neural networks for mobile vision applications,2017,"['Andrew G. Howard', 'Menglong Zhu', 'Bo Chen', 'Dmitry Kalenichenko', 'Weijun Wang', 'Tobias Weyand', 'Marco Andreetto', 'Hartwig Adam']",1704.04861,,,
paper-conference,Squeeze-and-excitation networks,2018,"['Jie Hu', 'Li Shen', 'Gang Sun']",temp102,,Proceedings of the IEEE conference on computer vision and pattern recognition,
paper-conference,Chexpert: A large chest radiograph dataset with uncertainty labels and expert comparison,2019,"['Jeremy Irvin', 'Pranav Rajpurkar', 'Michael Ko', 'Yifan Yu', 'Silviana Ciurea-Ilcus', 'Chris Chute', 'Henrik Marklund', 'Behzad Haghgoo', 'Robyn Ball', 'Katie Shpanskaya']",10.1609/aaai.v33i01.3301590,,Proceedings of the AAAI conference on artificial intelligence,
paper-conference,CAMERAS: Enhanced resolution and sanity preserving class activation mapping for image saliency,2021,"['Mohammad A.A.K. Jalwana', 'Naveed Akhtar', 'Mohammed Bennamoun', 'Ajmal Mian']",temp104,,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,
article-journal,Layercam: Exploring hierarchical class activation maps for localization,"['2021', '2021']","['Peng-Tao Jiang', 'Chang-Bin Zhang', 'Qibin Hou', 'Ming-Ming Cheng', 'Yunchao Wei']",10.1109/TIP.2021.3089943,,IEEE Transactions on Image Processing,
article-journal,"MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports","['2019', '2019']","['Alistair E.W. Johnson', 'Tom J. Pollard', 'Seth J. Berkowitz', 'Nathaniel R. Greenbaum', 'Matthew P. Lungren', 'Chih-ying Deng', 'Roger G. Mark', 'Steven Horng']",temp106,,Scientific data,
article-journal,Creation and validation of a chest X-ray dataset with eye-tracking and report dictation for AI development,"['2021', '2021']","['Alexandros Karargyris', 'Satyananda Kashyap', 'Ismini Lourentzou', 'Joy T. Wu', 'Arjun Sharma', 'Matthew Tong', 'Shafiq Abedin', 'David Beymer', 'Vandana Mukherjee', 'Elizabeth A. Krupinski']",temp107,,Scientific data,
paper-conference,Gaze embeddings for zero-shot image classification,2017,"['Nour Karessli', 'Zeynep Akata', 'Bernt Schiele', 'Andreas Bulling']",temp108,,Proceedings of the IEEE conference on computer vision and pattern recognition,
paper-conference,Multi-task learning using uncertainty to weigh losses for scene geometry and semantics,2018,"['Alex Kendall', 'Yarin Gal', 'Roberto Cipolla']",temp109,,Proceedings of the IEEE conference on computer vision and pattern recognition,
article-journal,Large dataset of labeled optical coherence tomography (oct) and chest x-ray images,2018,"['Daniel Kermany', 'Kang Zhang', 'Michael Goldbaum']",temp110,,Mendeley Data,
article-journal,Intelligent pneumonia identification from chest x-rays: A systematic literature review,"['2021', '2021']","['Wasif Khan', 'Nazar Zaki', 'Luqman Ali']",temp111,,IEEE Access,
paper-conference,Weakly-supervised self-training for breast cancer localization,"['2020', '1124']","['Gongbo Liang', 'Xiaoqin Wang', 'Yu Zhang', 'Nathan Jacobs']",temp112,IEEE,2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC,
,Auxiliary tasks in multi-task learning,2018,"['Lukas Liebel', 'Marco Körner']",1805.06334,,,
article-journal,"Attention in psychology, neuroscience, and machine learning","['2020', '2020']",['Grace W. Lindsay'],temp114,,Frontiers in computational neuroscience,
article-journal,Using Eye Gaze to Enhance Generalization of Imitation Networks to Unseen Environments,2020,"['Congcong Liu', 'Yuying Chen', 'Ming Liu', 'Bertram E. Shi']",temp115,,IEEE Transactions on Neural Networks and Learning Systems,
,Bam: Bottleneck attention module,2018,"['Jongchan Park', 'Sanghyun Woo', 'Joon-Young Lee', 'In So Kweon']",1807.06514,,,
paper-conference,Mobilenetv2: Inverted residuals and linear bottlenecks,2018,"['Mark Sandler', 'Andrew Howard', 'Menglong Zhu', 'Andrey Zhmoginov', 'Liang-Chieh Chen']",temp117,,Proceedings of the IEEE conference on computer vision and pattern recognition,
article-journal,Attention gated networks: Learning to leverage salient regions in medical images,"['2019', '2019']","['Jo Schlemper', 'Ozan Oktay', 'Michiel Schaap', 'Mattias Heinrich', 'Bernhard Kainz', 'Ben Glocker', 'Daniel Rueckert']",temp118,,Medical image analysis,
paper-conference,Grad-cam: Visual explanations from deep networks via gradient-based localization,2017,"['Ramprasaath R. Selvaraju', 'Michael Cogswell', 'Abhishek Das', 'Ramakrishna Vedantam', 'Devi Parikh', 'Dhruv Batra']",temp119,,Proceedings of the IEEE international conference on computer vision,
paper-conference,"Multi-Modal Learning from Video, Eye Tracking, and Pupillometry for Operator Skill Characterization in Clinical Fetal Ultrasound",2021,"['Harshita Sharma', 'Lior Drukker', 'Aris T. Papageorghiou', 'J.Alison Noble']",temp120,,2021 IEEE 18th International Symposium on Biomedical Imaging (ISBI). IEEE,
,Very deep convolutional networks for large-scale image recognition,2014,"['Karen Simonyan', 'Andrew Zisserman']",1409.1556,,,
paper-conference,"Inception-v4, inception-resnet and the impact of residual connections on learning",2017,"['Christian Szegedy', 'Sergey Ioffe', 'Vincent Vanhoucke', 'Alexander A. Alemi']",10.5555/3298023.3298188,,Thirty-first AAAI conference on artificial intelligence,
paper-conference,Efficientnet: Rethinking model scaling for convolutional neural networks,2019,"['Mingxing Tan', 'Quoc Le']",temp123,,International Conference on Machine Learning. PMLR,
,Efficientnetv2: Smaller models and faster training,2021,"['Mingxing Tan', 'Quoc V. Le']",2104.00298,,,
chapter,Attention is all you need,2017,"['Ashish Vaswani', 'Noam Shazeer', 'Niki Parmar', 'Jakob Uszkoreit', 'Llion Jones', 'Aidan N. Gomez', 'Łukasz Kaiser', 'Illia Polosukhin']",temp125,,Advances in neural information processing systems,
paper-conference,Score-CAM: Score-weighted visual explanations for convolutional neural networks,2020,"['Haofan Wang', 'Zifan Wang', 'Mengnan Du', 'Fan Yang', 'Zijian Zhang', 'Sirui Ding', 'Piotr Mardziel', 'Xia Hu']",temp126,,Proceedings of the IEEE/CVF conference on computer vision and pattern recognition workshops,
article-journal,Follow My Eye: Using Gaze to Supervise Computer-Aided Diagnosis,2022,"['Sheng Wang', 'Xi Ouyang', 'Tianming Liu', 'Qian Wang', 'Dinggang Shen']",temp127,,IEEE Transactions on Medical Imaging(2022,
paper-conference,Chestx-ray8: Hospital-scale chest x-ray database and benchmarks on weakly-supervised classification and localization of common thorax diseases,"['2017', '2097']","['Xiaosong Wang', 'Yifan Peng', 'Le Lu', 'Zhiyong Lu', 'Mohammadhadi Bagheri', 'Ronald M. Summers']",temp128,,Proceedings of the IEEE conference on computer vision and pattern recognition,
paper-conference,A robust network architecture to detect normal chest X-ray radiographs,2020,"['Ken C.L. Wong', 'Mehdi Moradi', 'Joy Wu', 'Anup Pillai', 'Arjun Sharma', 'Yaniv Gur', 'Hassan Ahmad', 'J.Chiranjeevi Minnekanti Sunil Chowdary', 'Kiran Kumar Reddy Polaka']",temp129,,2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI). IEEE,
paper-conference,Cbam: Convolutional block attention module,2018,"['Sanghyun Woo', 'Jongchan Park', 'Joon-Young Lee', 'In So Kweon']",10.1007/978-3-030-01234-2_1,,Proceedings of the European conference on computer vision,
article-journal,Comparison of chest radiograph interpretations by artificial intelligence algorithm vs radiology residents,"['2020', '2020']","['Joy T. Wu', 'Ken C.L. Wong', 'Yaniv Gur', 'Nadeem Ansari', 'Alexandros Karargyris', 'Arjun Sharma', 'Michael Morris', 'Babak Saboury', 'Hassan Ahmad', 'Orest Boyko']",temp131,,JAMA network open,
paper-conference,Human gaze assisted artificial intelligence: a review,"['2020', '2020']","['Ruohan Zhang', 'Akanksha Saran', 'Bo Liu', 'Yifeng Zhu', 'Sihang Guo', 'Scott Niekum', 'Dana Ballard', 'Mary Hayhoe']",temp132,,IJCAI: Proceedings of the Conference,
