paper_id,paper_title,self_citation,parent_id,parent_title,date
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp45,The use of colour measurement in research into art heritage,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.3724/SP.J.1089.2021.18650;JSESSIONID=bfbdd7a5-f59a-44df-a3f7-88cdf720786b,Computational Aesthetics of APP Icons,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1109/CVPR.2011.5995539,Aesthetic quality classification of photographs based on color harmony,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1145/3542922,Creative and Progressive Interior Color Design with Eye-tracked User Preference,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1002/col.22211,Computational color analysis of paintings for different artists of the XVI and XVII centuries,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp50,Colour Harmony,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp51,A Grammar of Color: A Basic Treatise on the Color System of Albert H,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp52,The Munsell Color System: A scientific compromise from the world of art,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp53,Understanding Color Models: A Review,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp54,Aesthetic Visual Quality Assessment of Paintings,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp55,Aesthetic Image Statistics Vary with Artistic Genre,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp56,Aesthetic Measure,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp57,The empirical basis of color perception,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp58,What is color and how it is perceived?,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp59,Geometry of color perception. Part 2: perceived colors from real quantum states and Hering's rebit,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",True,temp60,Measuring and Evaluating the Visual Complexity of Chinese Ink Paintings,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp61,Visual Aesthetic Quality Assessment of Digital Images,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1145/3273022,OmniArt: A Large-scale Artistic Benchmark,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp63,Color image segmentation considering human sensitivity for color pattern variations,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp64,Perceptually-Inspired Artistic Genre Identification System in Digitized Painting Collections,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp65,Theory of colours,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp66,The Color Primer: A Basic Treatise on the Color System of Wilhelm Ostwald,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp67,The Principles of Harmony and Contrast of Colors and Their Applications to the Arts,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp68,The Art of Color: The Subjective Experience and Objective Rationale of Color,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp69,The Geography of Thought: How Asians and Westerners Think Differently...and Why,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1002/col.20208,A colour harmony model for two-colour combinations,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1002/col.20558,Experimental modeling of colour harmony,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1016/j.image.2015.04.003,Towards aesthetics of image: A Bayesian framework for color harmony modeling,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp73,Color design,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp74,Geometric Formulation of Classical Color Harmony*,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1145/1964921.1964958,Color compatibility from large datasets,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1016/j.cag.2022.04.012,Saliency-aware color harmony models for outdoor signboard,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1002/col.10004,Color harmony,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,temp78,Color design support system considering color harmony,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1145/1179352.1141933,Color harmonization,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",True,temp80,Evaluation and Analysis of White Space in Wu Guanzhong's Chinese Paintings,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",True,temp81,Visual order of Chinese ink paintings,2022
10.1145/3554944.3554951,"A Comparative Study of Color Between Abstract Paintings, Oil Paintings and Chinese Ink Paintings",False,10.1177/0146167213508151,Physical Objects as Vehicles of Cultural Transmission: Maintaining Harmony and Uniqueness Through Colored Geometric Patterns,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,10.1007/978-3-030-58555-6_37,Rethinking class activation mapping for weakly supervised object localization,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,2102.13008,,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,10.1007/978-3-030-00928-1_98,Multi-task sonoeyenet: detection of fetal standardized planes assisted by generated sonographer attention maps,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp86,SonoEyeNet: Standardized fetal ultrasound plane detection informed by eye tracking,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp87,Deep Learning for Chest X-ray Analysis: A Survey,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp88,Evaluation of gaze tracking calibration for longitudinal biomedical imaging studies,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp89,Grad-cam++: Generalized gradient-based visual explanations for deep convolutional networks,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp90,Ultrasound image representation learning by modeling sonographer visual attention,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp91,Discovering Salient Anatomical Landmarks by Predicting Human Gaze,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp92,Automated methods for detection and classification pneumonia based on x-ray images using deep learning,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp93,An efficient algorithm for Gaussian blur using finite-state machines,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp94,"PhysioBank, PhysioToolkit, and PhysioNet: components of a new research resource for complex physiologic signals",2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,2012.12556,,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp96,Efficient pneumonia detection in chest xray images using deep transfer learning,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp97,Deep residual learning for image recognition,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp98,Engineering statistics,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp99,Eye tracking: A comprehensive guide to methods and measures,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp100,No one knows what attention is,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,1704.04861,Mobilenets: Efficient convolutional neural networks for mobile vision applications,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp102,Squeeze-and-excitation networks,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,10.1609/aaai.v33i01.3301590,Chexpert: A large chest radiograph dataset with uncertainty labels and expert comparison,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp104,CAMERAS: Enhanced resolution and sanity preserving class activation mapping for image saliency,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,10.1109/TIP.2021.3089943,Layercam: Exploring hierarchical class activation maps for localization,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp106,"MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports",2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp107,Creation and validation of a chest X-ray dataset with eye-tracking and report dictation for AI development,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp108,Gaze embeddings for zero-shot image classification,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp109,Multi-task learning using uncertainty to weigh losses for scene geometry and semantics,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp110,Large dataset of labeled optical coherence tomography (oct) and chest x-ray images,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp111,Intelligent pneumonia identification from chest x-rays: A systematic literature review,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp112,Weakly-supervised self-training for breast cancer localization,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,1805.06334,Auxiliary tasks in multi-task learning,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp114,"Attention in psychology, neuroscience, and machine learning",2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp115,Using Eye Gaze to Enhance Generalization of Imitation Networks to Unseen Environments,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,1807.06514,Bam: Bottleneck attention module,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp117,Mobilenetv2: Inverted residuals and linear bottlenecks,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp118,Attention gated networks: Learning to leverage salient regions in medical images,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp119,Grad-cam: Visual explanations from deep networks via gradient-based localization,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp120,"Multi-Modal Learning from Video, Eye Tracking, and Pupillometry for Operator Skill Characterization in Clinical Fetal Ultrasound",2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,1409.1556,Very deep convolutional networks for large-scale image recognition,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,10.5555/3298023.3298188,"Inception-v4, inception-resnet and the impact of residual connections on learning",2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp123,Efficientnet: Rethinking model scaling for convolutional neural networks,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,2104.00298,Efficientnetv2: Smaller models and faster training,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp125,Attention is all you need,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp126,Score-CAM: Score-weighted visual explanations for convolutional neural networks,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp127,Follow My Eye: Using Gaze to Supervise Computer-Aided Diagnosis,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp128,Chestx-ray8: Hospital-scale chest x-ray database and benchmarks on weakly-supervised classification and localization of common thorax diseases,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp129,A robust network architecture to detect normal chest X-ray radiographs,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,10.1007/978-3-030-01234-2_1,Cbam: Convolutional block attention module,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp131,Comparison of chest radiograph interpretations by artificial intelligence algorithm vs radiology residents,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp132,Human gaze assisted artificial intelligence: a review,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,False,temp133,Learning deep features for discriminative localization,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,True,temp134,Jointly Boosting Saliency Prediction and Disease Classification on Chest X-ray Images with Multi-task UNet,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,True,temp135,Hand-eye coordination-based implicit re-calibration method for gaze tracking on ultrasound machines: a statistical approach,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,True,temp136,The Neyman Pearson detection of microsaccades with maximum likelihood estimation of parameters,2022
10.1145/3554944.3554952,Gaze-Guided Class Activation Mapping: Leverage Human Visual Attention for Network Attention in Chest X-rays Classification,True,temp137,A novel gaze-supported multimodal human–computer interaction for ultrasound machines,2022
10.1145/3554944.3554953,Conditions of Preserving Mental Images by Contour Deformation,False,10.1145/2093973.2094009,A New Method for Subdivision Simplification with Applications to Urban-Area Generalization,2022
10.1145/3554944.3554953,Conditions of Preserving Mental Images by Contour Deformation,False,temp139,Spatial Factors Affecting User’s Perception in Map Simplification: An Empirical Analysis,2022
10.1145/3554944.3554953,Conditions of Preserving Mental Images by Contour Deformation,False,10.1109/PacificVis.2014.11,Exploring Curved Schematization,2022
10.1145/3554944.3554953,Conditions of Preserving Mental Images by Contour Deformation,False,temp141,Cartographic generalization in a digital environment: When and how to generalize,2022
10.1145/3554944.3554953,Conditions of Preserving Mental Images by Contour Deformation,False,10.1109/TVCG.2015.2401025,Exploring Curved Schematization of Territorial Outlines,2022
10.1145/3554944.3554953,Conditions of Preserving Mental Images by Contour Deformation,False,temp143,Line generalisation by repeated elimination of the smallest area,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.1142/S0218195995000064,Computing the Fréchet Distance between two Polygonal Curves,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.3758/s13428-014-0550-3,A comparison of scanpath comparison methods,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,True,10.1109/tvcg.2012.276,Visual analytics methodology for eye movement studies,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.4230/LIPIcs.SoCG.2019.17,Walking the dog fast in practice: algorithm engineering of the Fréchet distance,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,temp148,Detecting Commuting Patterns by Clustering Subtrajectories,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,temp149,Median trajectories,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,temp150,Similarity of trajectories taking into account geographic context,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.1080/13658816.2019.1684498,Group diagrams for representing trajectories,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,temp152,Computational movement analysis,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.1145/1183471.1183479,Computing longest duration flocks in trajectory data,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.1145/3274895.3274974,RoadRunner: improving the precision of road network inference from GPS trajectories,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.1007/978-3-540-87473-7_6,Modeling herds and their evolvements from trajectory data,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.14778/1920841.1920934,Swarm: Mining relaxed temporal moving object clusters,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,True,10.1080/13875868.2016.1226839,User performance and reading strategies for metro maps: An eye tracking study,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,temp158,Scanpath visualization and comparison using visual aggregation techniques,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.1145/2578153.2628810,A visual approach for scan path comparison,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,True,10.1145/3205929.3205931,Multiscale scanpath visualization and filtering,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,temp161,Group Diagrams,2022
10.1145/3554944.3554971,Group Diagrams for Simplified Representation of Scanpaths,False,10.1007/s10462-016-9477-7,A review of moving object trajectory clustering algorithms,2022
10.1145/3554944.3554947,Accelerating GPU Rendering of 2D Visualizations Using Resolution Scaling and Temporal Reconstruction,False,10.1109/38.376612,Generating exact ray-traced animation frames by reprojection,2022
10.1145/3554944.3554947,Accelerating GPU Rendering of 2D Visualizations Using Resolution Scaling and Temporal Reconstruction,False,temp164,FidelityFX Super Resolution 1.0 (FSR,2022
10.1145/3554944.3554947,Accelerating GPU Rendering of 2D Visualizations Using Resolution Scaling and Temporal Reconstruction,False,temp165,UCI Machine Learning Repository,2022
