institution1,institution2,paper_doi,date
University of Applied Sciences Western Switzerland,Eindhoven University of Technology,10.1145/3554944.3554959,2022
Eindhoven University of Technology,Eindhoven University of Technology,10.1145/3554944.3554959,2022
Naval Research Laboratory,Naval Research Laboratory,10.1145/3554944.3554954,2022
University of Stuttgart,University of Stuttgart,10.1145/3554944.3554970,2022
University of Stuttgart,Pontifical Catholic University of Chile,10.1145/3554944.3554970,2022
Pontifical Catholic University of Chile,Pontifical Catholic University of Chile,10.1145/3554944.3554970,2022
University of Stuttgart,University of Stuttgart,10.1145/3554944.3554956,2022
University of Applied Sciences of the Grisons,University of Applied Sciences of the Grisons,10.1145/3554944.3554960,2022
University of Applied Sciences of the Grisons,University of Applied Sciences Western Switzerland,10.1145/3554944.3554960,2022
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3554944.3554960,2022
University of Potsdam,University of Potsdam,10.1145/3554944.3554961,2022
University of Potsdam,Hasso Plattner Institute for Digital Engineering gGmbH,10.1145/3554944.3554961,2022
Hasso Plattner Institute for Digital Engineering gGmbH,Hasso Plattner Institute for Digital Engineering gGmbH,10.1145/3554944.3554961,2022
University of Applied Sciences of the Grisons,University of Applied Sciences of the Grisons,10.1145/3554944.3554962,2022
University of Copenhagen,University of Copenhagen,10.1145/3554944.3554963,2022
University of Copenhagen,Imperial College London,10.1145/3554944.3554963,2022
Imperial College London,Imperial College London,10.1145/3554944.3554963,2022
University of Applied Sciences of the Grisons,University of Applied Sciences of the Grisons,10.1145/3554944.3554964,2022
University of Applied Sciences of the Grisons,University of Applied Sciences Western Switzerland,10.1145/3554944.3554964,2022
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3554944.3554964,2022
University of Applied Sciences of the Grisons,University of Applied Sciences of the Grisons,10.1145/3554944.3554966,2022
University of Applied Sciences of the Grisons,University of Applied Sciences Western Switzerland,10.1145/3554944.3554966,2022
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3554944.3554966,2022
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3430036.3430053,2020
University of Applied Sciences Western Switzerland,Eindhoven University of Technology,10.1145/3430036.3430053,2020
Eindhoven University of Technology,Eindhoven University of Technology,10.1145/3430036.3430053,2020
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3430036.3430052,2020
University of Stuttgart,University of Stuttgart,10.1145/3430036.3430050,2020
University of Stuttgart,University of Stuttgart,10.1145/3430036.3430038,2020
The University of Aizu,The University of Aizu,10.1145/3430036.3430059,2020
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3430036.3430061,2020
University of Applied Sciences Western Switzerland,University of Applied Sciences of the Grisons,10.1145/3430036.3430061,2020
University of Applied Sciences Western Switzerland,Reutlingen University,10.1145/3430036.3430061,2020
University of Applied Sciences of the Grisons,University of Applied Sciences of the Grisons,10.1145/3430036.3430061,2020
University of Applied Sciences of the Grisons,Reutlingen University,10.1145/3430036.3430061,2020
Reutlingen University,Reutlingen University,10.1145/3430036.3430061,2020
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3430036.3430043,2020
University of Tsukuba,University of Tsukuba,10.1145/3430036.3430056,2020
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3430036.3430049,2020
University of Stuttgart,University of Stuttgart,10.1145/3430036.3430047,2020
Hasso Plattner Institute for Digital Engineering gGmbH,Hasso Plattner Institute for Digital Engineering gGmbH,10.1145/3430036.3430045,2020
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3430036.3430044,2020
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3430036.3430064,2020
Central South University,Central South University,10.1145/3430036.3430068,2020
Hasso Plattner Institute for Digital Engineering gGmbH,Hasso Plattner Institute for Digital Engineering gGmbH,10.1145/3430036.3432753,2020
Microsoft Research Asia,Microsoft Research Asia,10.1145/3356422.3356446,2019
Hasso Plattner Institute for Digital Engineering gGmbH,Hasso Plattner Institute for Digital Engineering gGmbH,10.1145/3356422.3356425,2019
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3356422.3356423,2019
Monash University,Monash University,10.1145/3356422.3356450,2019
Monash University,Royal College of Art,10.1145/3356422.3356450,2019
Monash University,University of Konstanz,10.1145/3356422.3356450,2019
Royal College of Art,Royal College of Art,10.1145/3356422.3356450,2019
Royal College of Art,University of Konstanz,10.1145/3356422.3356450,2019
University of Konstanz,University of Konstanz,10.1145/3356422.3356450,2019
Hasso Plattner Institute for Digital Engineering gGmbH,Hasso Plattner Institute for Digital Engineering gGmbH,10.1145/3356422.3356444,2019
Hasso Plattner Institute for Digital Engineering gGmbH,University of Potsdam,10.1145/3356422.3356444,2019
University of Potsdam,University of Potsdam,10.1145/3356422.3356444,2019
Shenzhen Institute of Advanced Technology,Shenzhen Institute of Advanced Technology,10.1145/3356422.3356430,2019
Tianjin University,Tianjin University,10.1145/3356422.3356449,2019
Tianjin University,Beijing Technology and Business University,10.1145/3356422.3356449,2019
Tianjin University,The University of Texas at Dallas,10.1145/3356422.3356449,2019
Beijing Technology and Business University,Beijing Technology and Business University,10.1145/3356422.3356449,2019
Beijing Technology and Business University,The University of Texas at Dallas,10.1145/3356422.3356449,2019
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/3356422.3356449,2019
East China Normal University,East China Normal University,10.1145/3356422.3356429,2019
East China Normal University,Soochow University,10.1145/3356422.3356429,2019
Soochow University,Soochow University,10.1145/3356422.3356429,2019
Monash University,Monash University,10.1145/3356422.3356435,2019
Monash University,University of Konstanz,10.1145/3356422.3356435,2019
University of Konstanz,University of Konstanz,10.1145/3356422.3356435,2019
University of Applied Sciences Western Switzerland,University of Applied Sciences Western Switzerland,10.1145/3356422.3356447,2019
Hasso Plattner Institute for Digital Engineering gGmbH,Hasso Plattner Institute for Digital Engineering gGmbH,10.1145/3356422.3356445,2019
Beijing Normal University,Beijing Normal University,10.1145/3356422.3356436,2019
Hohai University,Hohai University,10.1145/3356422.3356443,2019
The University of Texas at Dallas,The University of Texas at Dallas,10.1145/3356422.3356453,2019
